peak_1	h_1	k_1	l_1	peak_2	h_2	k_2	l_2	peak_3	h_3	k_3	l_3	peak_4	h_4	k_4	l_4	peak_5	h_5	k_5	l_5	peak_6	h_6	k_6	l_6	space_group	Space_code
2.376951	1.0	1.0	1.0	2.0585	2.0	0.0	0.0	0.792317	5.0	1.0	1.0	1.241322	3.0	1.0	1.0	1.455579	2.0	2.0	0.0	0.840379	4.0	2.0	2.0	Fm3m	4
2.382147	1.0	1.0	1.0	2.063	2.0	0.0	0.0	0.794049	5.0	1.0	1.0	1.244036	3.0	1.0	1.0	1.458761	2.0	2.0	0.0	0.842216	4.0	2.0	2.0	Fm3m	4
2.387343	1.0	1.0	1.0	2.0675	2.0	0.0	0.0	0.795781	5.0	1.0	1.0	1.246749	3.0	1.0	1.0	1.461943	2.0	2.0	0.0	0.844053	4.0	2.0	2.0	Fm3m	4
2.39254	1.0	1.0	1.0	2.072	2.0	0.0	0.0	0.797513	5.0	1.0	1.0	1.249463	3.0	1.0	1.0	1.465125	2.0	2.0	0.0	0.84589	4.0	2.0	2.0	Fm3m	4
2.39889	1.0	1.0	1.0	2.0775	2.0	0.0	0.0	0.79963	5.0	1.0	1.0	1.25278	3.0	1.0	1.0	1.469014	2.0	2.0	0.0	0.848136	4.0	2.0	2.0	Fm3m	4
2.405241	1.0	1.0	1.0	2.083	2.0	0.0	0.0	0.801747	5.0	1.0	1.0	1.256096	3.0	1.0	1.0	1.472903	2.0	2.0	0.0	0.850381	4.0	2.0	2.0	Fm3m	4
2.408705	1.0	1.0	1.0	2.086	2.0	0.0	0.0	0.802902	5.0	1.0	1.0	1.257905	3.0	1.0	1.0	1.475025	2.0	2.0	0.0	0.851606	4.0	2.0	2.0	Fm3m	4
2.353972	1.0	1.0	1.0	0.784657	5.0	1.0	1.0	2.0386	2.0	0.0	0.0	1.229322	3.0	1.0	1.0	1.441508	2.0	2.0	0.0	0.832255	4.0	2.0	2.0	Fm3m	4
2.355012	1.0	1.0	1.0	0.785004	5.0	1.0	1.0	2.0395	2.0	0.0	0.0	1.229865	3.0	1.0	1.0	1.442144	2.0	2.0	0.0	0.832622	4.0	2.0	2.0	Fm3m	4
2.342887	1.0	1.0	1.0	0.780962	5.0	1.0	1.0	2.029	2.0	0.0	0.0	1.223533	3.0	1.0	1.0	0.828336	4.0	2.0	2.0	1.43472	2.0	2.0	0.0	Fm3m	4
2.358764	1.0	1.0	1.0	0.786255	5.0	1.0	1.0	2.04275	2.0	0.0	0.0	1.231825	3.0	1.0	1.0	1.444442	2.0	2.0	0.0	0.833949	4.0	2.0	2.0	Fm3m	4
2.353857	1.0	1.0	1.0	0.784619	5.0	1.0	1.0	2.0385	2.0	0.0	0.0	1.229262	3.0	1.0	1.0	1.441437	2.0	2.0	0.0	0.832214	4.0	2.0	2.0	Fm3m	4
4.81	0.0	0.0	2.0	2.414328	1.0	0.0	1.0	0.777385	2.0	1.0	7.0	1.968742	1.0	0.0	3.0	2.214181	1.0	0.0	2.0	0.785759	3.0	0.0	4.0	P6_3mmc	0
2.357899	1.0	1.0	1.0	0.785966	5.0	1.0	1.0	2.042	2.0	0.0	0.0	1.231372	3.0	1.0	1.0	1.443912	2.0	2.0	0.0	0.833643	4.0	2.0	2.0	Fm3m	4
2.88236	1.0	0.0	1.0	3.077	0.0	0.0	2.0	3.262318	1.0	0.0	0.0	1.736558	1.0	0.0	3.0	1.606433	1.0	1.0	2.0	1.8835	1.0	1.0	0.0	P6_3mmc	0
2.987526	1.0	1.0	0.0	0.771376	5.0	2.0	1.0	1.724849	2.0	1.0	1.0	2.1125	2.0	0.0	0.0	1.129179	3.0	2.0	1.0	1.336062	3.0	1.0	0.0	Im3m	8
2.994597	1.0	1.0	0.0	0.773202	5.0	2.0	1.0	1.728932	2.0	1.0	1.0	2.1175	2.0	0.0	0.0	1.131851	3.0	2.0	1.0	1.339225	3.0	1.0	0.0	Im3m	8
2.88236	1.0	0.0	1.0	3.077	0.0	0.0	2.0	3.262318	1.0	0.0	0.0	1.736558	1.0	0.0	3.0	1.606433	1.0	1.0	2.0	1.8835	1.0	1.0	0.0	P6_3mmc	0
2.987526	1.0	1.0	0.0	0.771376	5.0	2.0	1.0	1.724849	2.0	1.0	1.0	2.1125	2.0	0.0	0.0	1.129179	3.0	2.0	1.0	1.336062	3.0	1.0	0.0	Im3m	8
3.033912	1.0	1.0	0.0	1.75163	2.0	1.0	1.0	0.783353	5.0	2.0	1.0	2.1453	2.0	0.0	0.0	1.146711	3.0	2.0	1.0	1.356807	3.0	1.0	0.0	Im3m	8
